area,areasize,areatype,Bedrooms,price
Medipally,850.0,carpet area,2,54.0
Dammaiguda,990.0,super area,3,40.0
,1760.0,super area,3,85.0
Sri Nagar Colony,1000.0,carpet area,2,105.0
Boduppal,120.0,carpet area,6,100.0
Nallagandla,810.0,carpet area,2,120.0
Hayathnagar,1350.0,super area,2,120.0
Attapur,1250.0,super area,2,120.0
Kollur,2000.0,super area,3,85.0
Tellapur,1500.0,carpet area,3,112.00000000000001
Bandlaguda Jagir,1330.0,carpet area,2,88.0
,1825.0,super area,8,70.0
Velimela,1665.0,super area,3,63.3
Kollur,416.0,carpet area,3,66.0
,2200.0,carpet area,4,105.0
Bachupally,918.0,super area,2,43.0
Medchal,775.0,carpet area,2,35.0
Adarsh Nagar-Serilingampally,1000.0,carpet area,2,48.0
Nallagandla,1523.0,super area,3,85.0
Annapurna Colony-Mallapur,1134.0,super area,3,101.0
Appa junction,1395.0,super area,2,90.0
Injapur,2600.0,super area,2,99.0
Kollur,1100.0,carpet area,2,62.5
Rampally,1100.0,carpet area,2,65.0
Jadcherla,900.0,carpet area,2,35.0
,1152.0,carpet area,2,85.0
Rameshwar Banda,2000.0,carpet area,3,99.0
Ayyappa Society,1384.0,carpet area,3,134.0
Narapally,1755.0,carpet area,3,63.2
Boduppal,957.0,carpet area,2,36.3
Tellapur,1874.0,carpet area,3,117.0
Bachupally,2200.0,super area,3,117.0
Kollur,1250.0,carpet area,2,50.0
Bachupally,800.0,carpet area,2,55.0
Bachupally,1150.0,carpet area,2,40.3
Beeramguda,2355.0,super area,4,89.5
Financial District,917.0,carpet area,2,134.0
Hitech City,1500.0,carpet area,3,79.0
Sainikpuri,1150.0,carpet area,2,44.0
Kowkur,1585.0,carpet area,3,87.0
Patancheru,633.0,carpet area,2,31.4
Shameerpet,2400.0,carpet area,3,90.0
Appa junction,1788.0,super area,3,120.0
Chandanagar,1402.0,carpet area,3,90.0
A C Guards,1160.0,carpet area,2,86.0
Gopanapalli,1290.0,carpet area,2,92.0
Sainikpuri,850.0,carpet area,2,43.0
Muppas Panchavati Colony,1100.0,carpet area,2,68.0
,1330.0,super area,3,66.0
Nizampet,1100.0,carpet area,2,65.0
Kompally,1440.0,super area,3,70.0
Nagaram,905.0,super area,2,40.0
Masjid Banda,1500.0,carpet area,3,120.0
Kardhanur,1050.0,carpet area,2,22.0
Nallagandla,1950.0,carpet area,3,125.0
Narsingi,1500.0,carpet area,3,120.0
Madhura Nagar-Nizampet,1300.0,carpet area,2,140.0
Toli Chowki,1350.0,carpet area,3,69.0
B N Reddy Nagar,937.0,carpet area,2,57.0
Miyapur,1155.0,super area,2,62.0
West Marredpally,1201.0,super area,3,75.0
Mayuri Nagar,1120.0,carpet area,3,72.3
Kokapet,1780.0,carpet area,3,110.00000000000001
Attapur,1375.0,super area,3,60.0
Aminpur,1100.0,carpet area,2,60.0
Miyapur,1205.0,carpet area,2,31.0
Mythri Nagar,1330.0,super area,2,73.3
Ghatkesar,1000.0,super area,2,37.2
Kukatpally,895.0,carpet area,2,100.0
East Marredpally,970.0,super area,2,60.0
Gajularamaram,900.0,carpet area,2,62.0
Aminpur,2200.0,super area,2,130.0
Kondapur,2100.0,carpet area,3,125.0
Bandlaguda Jagir,1200.0,carpet area,3,64.0
Manikonda,1000.0,carpet area,2,88.0
Rajendra Nagar,1251.0,super area,3,120.0
Chandanagar,1230.0,carpet area,2,51.0
Kompally,1200.0,carpet area,2,59.5
HMT nagar,900.0,carpet area,2,45.0
Chandanagar,1250.0,carpet area,3,72.0
Beeramguda,880.0,super area,2,32.0
Kakateeya Nagar,440.0,carpet area,1,22.0
Aminpur,1464.0,carpet area,3,99.0
Narsingi,1295.0,carpet area,2,79.9
Muthangi,250.0,carpet area,2,32.0
Kompally,1395.0,carpet area,3,70.0
Shivarampally,1400.0,carpet area,3,75.0
Shivam Rd,950.0,carpet area,2,48.0
Mallapur,1100.0,carpet area,3,61.6
Tarnaka,1717.0,carpet area,3,114.99999999999999
Gachibowli,990.0,super area,2,75.0
Gulshan Colony,900.0,carpet area,2,42.5
Chengicherla,1500.0,carpet area,2,71.0
Srisailam Highway,1300.0,super area,2,72.0
Dr A.S. Rao Nagar,1999.0,super area,3,84.0
Alkapur Township,1709.0,super area,3,90.0
Manikonda,2100.0,super area,3,90.0
Velimela,975.0,carpet area,3,39.0
Gandhi Nagar-Kapra,630.0,carpet area,4,65.0
Kompally,1120.0,super area,2,44.8
Kukatpally,1515.0,carpet area,2,110.00000000000001
Masab Tank,1900.0,carpet area,3,57.0
Khaja Guda,1283.0,carpet area,2,87.8
Beeramguda,1535.0,carpet area,3,64.9
Tilak Nagar,3150.0,carpet area,3,92.0
Vengal Rao Nagar,1170.0,carpet area,3,72.0
Narsingi,1800.0,carpet area,3,120.0
Kapra,822.0,carpet area,2,32.0
Padmanagar Phase II,791.0,carpet area,2,36.0
Jubilee Hills,1000.0,carpet area,3,120.0
Nanakram Guda,1275.0,super area,2,134.0
Appa junction,1000.0,carpet area,3,89.5
Nallagandla,2000.0,carpet area,3,145.0
Kompally,1425.0,carpet area,3,69.6
Uppal,2300.0,carpet area,3,145.0
Mamatha Nagar Colony,1567.0,super area,3,72.2
Kothapet,1100.0,carpet area,2,60.0
Bachupally,1375.0,carpet area,3,55.4
P Janardhan Reddy Nagar,850.0,carpet area,2,46.0
Nandi Nagar,1200.0,carpet area,2,85.0
Habsiguda,850.0,carpet area,2,52.0
Kukatpally,1425.0,carpet area,3,96.0
Raghavendra Nagar-Nacharam,1000.0,carpet area,2,52.5
Chandanagar,1065.0,carpet area,2,72.0
Nizampet,1550.0,carpet area,3,82.0
Boduppal,800.0,carpet area,2,40.0
East Marredpally,1160.0,carpet area,3,90.0
LB Nagar,1000.0,carpet area,2,60.0
Uppal Kalan,1400.0,carpet area,3,100.0
Chandanagar,1000.0,carpet area,2,32.8
Kavuri Hills,1020.0,carpet area,2,70.0
Pragathi Nagar,600.0,carpet area,1,29.9
Ram nagar,800.0,carpet area,2,45.0
Kompally,650.0,carpet area,2,41.0
Hafeezpet,993.0,super area,2,71.0
Kamalapuri Colony,1490.0,carpet area,3,105.0
Nizampet,1025.0,super area,2,45.0
Nacharam,900.0,super area,2,42.0
Tanasha Nagar,1564.0,carpet area,3,75.0
Dr A.S. Rao Nagar,1050.0,carpet area,2,49.6
Chandanagar,1200.0,carpet area,3,75.0
Srinagar Colony,1700.0,super area,3,114.99999999999999
Nagaram,2420.0,carpet area,3,136.0
Mokila,1530.0,carpet area,2,105.0
Kompally,900.0,carpet area,2,50.0
Mokila,1000.0,carpet area,2,40.0
Mallampet,1130.0,carpet area,2,29.0
Kukatpally,1000.0,carpet area,2,70.0
Aminpur,918.0,carpet area,2,45.0
Tilak Nagar,1500.0,carpet area,3,55.0
Manikonda,1380.0,super area,3,118.0
Moosarambagh,1240.0,carpet area,2,72.0
Vayupuri,2200.0,super area,3,130.0
Dundigal,1899.0,carpet area,2,58.0
Bachupally,2021.0,super area,4,100.0
Kollur,1800.0,carpet area,3,62.0
Bachupally,1340.0,carpet area,3,40.0
K P H B Phase 4,750.0,carpet area,2,45.0
Sun City,950.0,carpet area,2,52.0
Kondapur,900.0,carpet area,2,56.5
Alkapur Township,880.0,carpet area,2,63.0
Bandari Layout,900.0,carpet area,2,40.0
Yapral,1400.0,carpet area,3,72.0
Kondapur,1160.0,carpet area,3,78.0
Puppalaguda,1583.0,carpet area,3,127.0
Nagole,1200.0,carpet area,2,60.0
Manikonda,960.0,carpet area,2,45.0
West Marredpally,1460.0,carpet area,3,105.0
Mallampet,950.0,carpet area,2,39.0
Pasha Colony,1600.0,carpet area,4,100.0
Nadergul,1100.0,carpet area,2,56.0
HMT Swarnapuri Colony,1050.0,carpet area,2,46.0
Dammaiguda,1150.0,carpet area,2,65.0
Sainikpuri,1350.0,carpet area,3,78.0
Dr A.S. Rao Nagar,900.0,carpet area,2,50.0
Hydershakote,1270.0,carpet area,2,95.0
Miyapur,900.0,carpet area,2,39.9
Yapral,1400.0,carpet area,3,65.0
Chandanagar,697.0,carpet area,2,35.0
Surya Colony,973.0,super area,2,45.0
Sri Ramnagar - Block C,1150.0,super area,2,62.0
Panjagutta Colony,700.0,carpet area,2,40.0
Bagh Amberpet,742.0,carpet area,2,30.0
Patancheru,1470.0,super area,3,47.0
Bandlaguda Jagir,1250.0,carpet area,2,105.0
Vanasthalipuram,1150.0,carpet area,2,50.0
Nagole,900.0,carpet area,2,36.0
Appa junction,1380.0,super area,3,79.0
Gachibowli,1742.0,super area,3,140.0
Kismatpur,2500.0,super area,4,125.0
Moula Ali,725.0,carpet area,2,16.0
Hyderabad-Karimnagar Highway,1100.0,carpet area,2,26.0
,1150.0,carpet area,2,68.0
Serilingampally,1070.0,super area,2,60.0
Hayathnagar,1250.0,carpet area,2,38.0
Appa junction,862.0,carpet area,2,45.0
Badangpet,106.0,carpet area,2,74.0
Dammaiguda,1503.0,super area,2,72.0
Saket,589.0,carpet area,2,37.0
Gachibowli,1250.0,super area,2,90.0
Medchal,1150.0,carpet area,3,62.0
,300.0,carpet area,,39.0
Humayun Nagar,1100.0,super area,3,48.0
Kistareddypet,1130.0,carpet area,2,33.0
Bachupally,607.0,carpet area,1,28.5
Beeramguda,1050.0,super area,2,35.0
Nallagandla,1430.0,super area,3,114.99999999999999
Nallagandla,900.0,carpet area,2,85.0
Nizampet,1000.0,carpet area,2,40.0
Alkapur Township,1160.0,carpet area,2,52.2
Mehdipatnam,970.0,carpet area,2,44.0
Neredmet,1650.0,super area,3,100.0
Miyapur,1210.0,super area,2,42.4
Gachibowli,1492.0,super area,2,134.0
Pragathi Nagar,1350.0,carpet area,3,69.0
Miyapur,1000.0,carpet area,3,63.0
Beeramguda,1600.0,carpet area,3,114.99999999999999
Dammaiguda,2020.0,carpet area,3,108.0
